r\c	0.0	10.0	20.0	30.0	40.0	50.0	60.0	70.0	80.0	90.0	100.0	110.0	120.0	130.0	140.0	150.0	160.0	170.0	180.0	190.0	200.0	210.0	220.0	230.0	240.0	250.0	260.0	270.0	280.0	290.0	300.0	310.0	320.0	330.0	340.0	350.0	360.0	370.0	380.0	390.0	400.0	410.0	420.0	430.0	440.0	450.0	460.0	470.0	480.0	490.0	500.0	510.0	520.0	530.0	540.0	550.0	560.0	570.0	580.0	590.0	600.0	610.0	620.0	630.0	640.0	650.0	660.0	670.0	680.0	690.0	700.0	710.0	720.0	730.0	740.0	750.0	760.0	770.0	780.0	790.0	800.0	810.0	820.0	830.0	840.0	850.0	860.0	870.0	880.0	890.0	900.0	910.0	920.0	930.0	940.0	950.0	960.0	970.0	980.0	990.0	1000.0
0.9995	3.0	4.0	4.0	6.0	8.0	10.0	8.0	12.0	14.0	13.0	16.0	18.0	20.0	20.0	22.0	24.0	32.0	26.0	28.0	30.0	30.0	32.0	34.0	30.0	36.0	40.0	40.0	52.0	52.0	60.0	39.0	68.0	48.0	52.0	46.0	52.0	56.0	72.0	56.0	92.0	92.0	100.0	62.0	64.0	52.0	96.0	82.0	48.0	64.0	88.0	68.0	96.0	72.0	58.0	67.0	58.0	58.0	68.0	74.0	64.0	74.0	59.0	92.0	82.0	76.0	100.0	85.0	89.0	85.0	91.0	79.0	112.0	89.0	81.0	92.0	110.0	96.0	83.0	128.0	82.0	91.0	95.0	95.0	97.0	91.0	102.0	90.0	88.0	116.0	96.0	208.0	81.0	146.0	100.0	148.0	152.0	122.0	100.0	69.0	100.0	0.0
0.001	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	6.0	3.0	1.0	6.0	4.0	6.0	5.0	4.0	1.0	5.0	5.0	1.0	6.0	1.0	8.0	4.0	2.0	8.0	1.0	16.0	11.0	1.0	8.0	1.0	7.0	9.0	10.0	17.0	21.0	17.0	17.0	12.0	13.0	9.0	11.0	22.0	8.0	12.0	10.0	9.0	18.0	24.0	7.0	16.0	24.0	12.0	27.0	26.0	27.0	11.0	26.0	28.0	7.0	20.0	26.0	26.0	16.0	10.0	28.0	26.0	36.0	21.0	37.0	24.0	38.0	34.0	32.0	39.0	44.0	4.0	22.0	21.0	0.0
0.999	3.0	4.0	4.0	6.0	8.0	10.0	8.0	12.0	14.0	13.0	16.0	18.0	20.0	20.0	22.0	24.0	32.0	26.0	28.0	30.0	30.0	32.0	34.0	30.0	36.0	40.0	40.0	52.0	52.0	60.0	39.0	68.0	48.0	52.0	46.0	52.0	56.0	72.0	56.0	92.0	92.0	100.0	62.0	64.0	52.0	96.0	82.0	48.0	64.0	88.0	68.0	96.0	72.0	58.0	67.0	58.0	58.0	68.0	74.0	64.0	74.0	59.0	92.0	82.0	76.0	100.0	85.0	89.0	85.0	91.0	79.0	112.0	89.0	81.0	92.0	110.0	96.0	83.0	128.0	82.0	91.0	95.0	95.0	97.0	91.0	102.0	90.0	88.0	116.0	96.0	208.0	81.0	146.0	100.0	148.0	152.0	122.0	100.0	69.0	100.0	0.0
0.005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	1.0	4.0	3.0	6.0	3.0	2.0	8.0	4.0	6.0	6.0	4.0	1.0	5.0	7.0	1.0	6.0	1.0	8.0	4.0	2.0	8.0	1.0	16.0	11.0	1.0	8.0	1.0	7.0	9.0	10.0	17.0	21.0	17.0	17.0	12.0	13.0	9.0	11.0	22.0	8.0	12.0	10.0	9.0	18.0	24.0	7.0	16.0	24.0	12.0	27.0	26.0	27.0	11.0	26.0	28.0	7.0	20.0	26.0	26.0	16.0	10.0	28.0	26.0	36.0	21.0	37.0	24.0	38.0	34.0	32.0	39.0	44.0	4.0	22.0	21.0	0.0
0.995	3.0	4.0	4.0	6.0	8.0	10.0	8.0	12.0	14.0	13.0	15.0	16.0	17.0	18.0	21.0	21.0	21.0	26.0	27.0	23.0	28.0	32.0	34.0	30.0	36.0	38.0	40.0	38.0	42.0	44.0	39.0	46.0	46.0	52.0	46.0	52.0	56.0	72.0	54.0	92.0	92.0	100.0	62.0	64.0	52.0	96.0	82.0	48.0	64.0	88.0	68.0	96.0	72.0	58.0	67.0	58.0	58.0	68.0	74.0	64.0	74.0	59.0	92.0	82.0	76.0	100.0	85.0	89.0	85.0	91.0	79.0	112.0	89.0	81.0	92.0	110.0	96.0	83.0	128.0	82.0	91.0	95.0	95.0	97.0	91.0	102.0	90.0	88.0	116.0	96.0	208.0	81.0	146.0	100.0	148.0	152.0	122.0	100.0	69.0	100.0	0.0
0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	3.0	1.0	3.0	2.0	3.0	3.0	2.0	2.0	5.0	5.0	6.0	3.0	6.0	8.0	4.0	6.0	7.0	4.0	1.0	6.0	8.0	9.0	6.0	8.0	8.0	6.0	8.0	10.0	2.0	16.0	11.0	1.0	10.0	1.0	7.0	9.0	10.0	17.0	21.0	17.0	17.0	12.0	13.0	9.0	11.0	22.0	8.0	12.0	10.0	9.0	18.0	24.0	7.0	16.0	24.0	12.0	27.0	26.0	27.0	11.0	26.0	28.0	7.0	20.0	26.0	26.0	16.0	10.0	28.0	26.0	36.0	21.0	37.0	24.0	38.0	34.0	32.0	39.0	44.0	4.0	22.0	21.0	0.0
0.99	3.0	4.0	4.0	6.0	8.0	10.0	8.0	12.0	14.0	13.0	15.0	16.0	17.0	18.0	20.0	20.0	20.0	23.0	24.0	22.0	28.0	30.0	32.0	30.0	36.0	38.0	37.0	38.0	42.0	44.0	38.0	42.0	42.0	50.0	44.0	46.0	54.0	60.0	50.0	58.0	60.0	88.0	60.0	62.0	50.0	96.0	68.0	48.0	64.0	88.0	56.0	96.0	72.0	58.0	67.0	58.0	58.0	68.0	74.0	64.0	74.0	59.0	92.0	82.0	76.0	100.0	85.0	89.0	85.0	91.0	79.0	112.0	89.0	81.0	92.0	110.0	96.0	83.0	128.0	82.0	91.0	95.0	95.0	97.0	91.0	102.0	90.0	88.0	116.0	96.0	208.0	81.0	146.0	100.0	148.0	152.0	122.0	100.0	69.0	100.0	0.0
0.025	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	5.0	7.0	6.0	8.0	6.0	8.0	9.0	5.0	9.0	10.0	6.0	8.0	8.0	10.0	10.0	6.0	10.0	8.0	8.0	10.0	10.0	2.0	16.0	15.0	2.0	14.0	9.0	12.0	11.0	12.0	19.0	21.0	17.0	17.0	20.0	24.0	9.0	11.0	22.0	8.0	12.0	18.0	9.0	18.0	24.0	7.0	17.0	24.0	12.0	27.0	26.0	27.0	11.0	26.0	28.0	7.0	20.0	26.0	26.0	16.0	10.0	28.0	26.0	36.0	21.0	37.0	24.0	38.0	34.0	32.0	39.0	44.0	4.0	22.0	21.0	0.0
0.975	3.0	4.0	4.0	6.0	7.0	10.0	8.0	12.0	12.0	12.0	14.0	15.0	16.0	18.0	18.0	20.0	18.0	20.0	21.0	22.0	28.0	24.0	26.0	28.0	32.0	36.0	32.0	36.0	38.0	38.0	36.0	40.0	39.0	42.0	42.0	44.0	46.0	48.0	50.0	50.0	52.0	54.0	60.0	62.0	48.0	66.0	60.0	46.0	49.0	64.0	54.0	54.0	60.0	58.0	64.0	57.0	56.0	60.0	62.0	63.0	63.0	59.0	76.0	82.0	76.0	85.0	85.0	89.0	85.0	91.0	79.0	89.0	89.0	81.0	92.0	110.0	96.0	83.0	128.0	82.0	91.0	95.0	95.0	97.0	91.0	101.0	90.0	88.0	116.0	96.0	208.0	81.0	146.0	100.0	148.0	152.0	122.0	100.0	69.0	100.0	0.0
0.05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	2.0	2.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	6.0	6.0	5.0	7.0	9.0	8.0	9.0	6.0	10.0	10.0	9.0	11.0	12.0	13.0	10.0	12.0	12.0	13.0	12.0	14.0	12.0	14.0	12.0	10.0	13.0	18.0	17.0	11.0	16.0	14.0	13.0	12.0	18.0	19.0	22.0	17.0	20.0	20.0	24.0	11.0	22.0	22.0	8.0	12.0	19.0	12.0	20.0	29.0	26.0	17.0	32.0	19.0	28.0	27.0	27.0	11.0	28.0	28.0	26.0	20.0	40.0	28.0	16.0	28.0	35.0	34.0	37.0	36.0	38.0	33.0	39.0	34.0	32.0	39.0	44.0	4.0	22.0	21.0	0.0
0.95	2.0	4.0	4.0	5.0	7.0	9.0	8.0	11.0	12.0	10.0	12.0	14.0	16.0	17.0	17.0	18.0	17.0	20.0	20.0	21.0	26.0	24.0	26.0	26.0	30.0	36.0	30.0	34.0	34.0	37.0	34.0	38.0	33.0	32.0	38.0	38.0	40.0	46.0	48.0	46.0	52.0	52.0	52.0	50.0	46.0	62.0	49.0	46.0	48.0	62.0	46.0	46.0	53.0	58.0	62.0	56.0	56.0	56.0	56.0	60.0	60.0	56.0	76.0	76.0	76.0	79.0	78.0	86.0	73.0	89.0	77.0	79.0	83.0	81.0	82.0	82.0	90.0	83.0	87.0	82.0	88.0	95.0	93.0	88.0	91.0	99.0	90.0	74.0	104.0	93.0	96.0	79.0	100.0	100.0	148.0	152.0	122.0	100.0	69.0	100.0	0.0
0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	3.0	4.0	5.0	5.0	6.0	5.0	5.0	6.0	6.0	7.0	6.0	8.0	9.0	8.0	8.0	11.0	10.0	11.0	10.0	11.0	12.0	12.0	13.0	14.0	14.0	14.0	15.0	14.0	17.0	17.0	16.0	15.0	18.0	18.0	15.0	16.0	18.0	20.0	15.0	17.0	18.0	17.0	16.0	22.0	23.0	24.0	17.0	22.0	25.0	25.0	20.0	23.0	24.0	13.0	18.0	27.0	30.0	22.0	37.0	37.0	27.0	34.0	19.0	30.0	27.0	30.0	20.0	31.0	30.0	33.0	30.0	40.0	36.0	36.0	39.0	36.0	35.0	38.0	36.0	39.0	39.0	41.0	48.0	42.0	39.0	46.0	44.0	22.0	36.0	0.0
0.9	2.0	4.0	4.0	5.0	6.0	8.0	8.0	10.0	10.0	10.0	11.0	12.0	13.0	16.0	14.0	18.0	16.0	18.0	17.0	18.0	24.0	20.0	26.0	23.0	27.0	29.0	27.0	32.0	34.0	34.0	32.0	34.0	32.0	32.0	32.0	35.0	35.0	36.0	45.0	46.0	48.0	50.0	50.0	48.0	43.0	48.0	46.0	41.0	48.0	45.0	41.0	45.0	46.0	56.0	60.0	56.0	56.0	54.0	52.0	56.0	56.0	49.0	72.0	74.0	58.0	78.0	76.0	73.0	73.0	89.0	74.0	73.0	75.0	81.0	78.0	81.0	83.0	77.0	85.0	76.0	81.0	86.0	81.0	81.0	88.0	84.0	79.0	73.0	101.0	54.0	96.0	58.0	96.0	100.0	96.0	150.0	118.0	100.0	69.0	97.0	0.0
0.5	1.0	2.0	1.0	2.0	3.0	5.0	4.0	6.0	6.0	6.0	8.0	7.0	8.0	9.0	8.0	10.0	10.0	10.0	12.0	11.0	15.0	12.0	13.0	15.0	14.0	14.0	15.0	18.0	21.0	21.0	19.0	21.0	20.0	20.0	22.0	23.0	23.0	23.0	25.0	29.0	29.0	30.0	25.0	31.0	28.0	28.0	28.0	29.0	26.0	29.0	32.0	31.0	32.0	28.0	35.0	42.0	34.0	32.0	34.0	37.0	38.0	31.0	38.0	34.0	39.0	45.0	42.0	41.0	52.0	56.0	45.0	48.0	57.0	47.0	45.0	49.0	52.0	44.0	54.0	48.0	54.0	39.0	55.0	44.0	42.0	51.0	46.0	44.0	44.0	42.0	50.0	48.0	70.0	52.0	54.0	46.0	56.0	60.0	58.0	62.0	0.0
